Project,Coef_LanguageEnvy,Coef_CrossRespDecl,Coef_ShotgunSurgery,Coef_EncapsulationBypass,Significant_Predictors
conscrypt-,0.04,3.04,0.03,-0.23,"CrossRespDecl, ShotgunSurgery"
java-smt-,0.20,0.30,-0.20,-25.42,None
javacpp-,-0.92,0.13,,,None
jni-bind-release-,0.69,,,0.65,None
monero-java-v,,,,,None
pljava-,0.08,1.00,0.10,0.41,ShotgunSurgery
realm-java-v,0.37,1.89,0.64,1.12,"CrossRespDecl, ShotgunSurgery"
rocksdb-v,,0.66,25.24,0.44,EncapsulationBypass
sqlite-,0.95,,-1.20,11.26,LanguageEnvy
vlc-,-18.17,23.78,-0.28,-19.20,None
webrtc-v,0.09,-0.30,0.12,,ShotgunSurgery
wolfcrypt-v,-0.98,-1.13,-0.53,-1.76,None
wolfssl-v,0.53,0.02,0.02,0.65,None
zstd-jni-v,0.37,1.12,,-0.43,None
